REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
/home/sk-park/PycharmProjects/DNN_speech_enhancement3/pesq/SA1_1.wav	 /home/sk-park/PycharmProjects/DNN_speech_enhancement3/pesq/_SA1_1_exhibition_5dB_enhanced.wav	 SQValue=1.385	 1.385	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/_SA1_1_exhibition_5dB.wav	 SQValue=1.407	 1.407	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/PycharmProjects/DNN_speech_enhancement3/output/enh_wavs_IRM_50epoch/test/_SA1_1_exhibition_5dB.wav	 SQValue=2.048	 2.048	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/mixed/_SA1_1_exhibition_5dB.wav	 SQValue=1.753	 1.753	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/mixed/_SA1_1_exhibition_0dB.wav	 SQValue=1.409	 1.409	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/mixed/_SA1_1_exhibition_-5dB.wav	 SQValue=1.150	 1.150	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/mixed/_SA1_1_exhibition_10dB.wav	 SQValue=2.133	 2.133	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/mixed/_SA1_1_exhibition_15dB.wav	 SQValue=2.487	 2.487	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/mixed/_SA1_1_exhibition_20dB.wav	 SQValue=2.818	 2.818	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/enhancement/_SA1_1_exhibition_-5dB.wav	 SQValue=2.562	 2.562	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_exhibition_-5dB.wav	 SQValue=0.531	 0.531	 0.000	 0	 8000	1.2240
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_exhibition_0dB.wav	 SQValue=0.881	 0.881	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_exhibition_5dB.wav	 SQValue=1.028	 1.028	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_exhibition_10dB.wav	 SQValue=0.973	 0.973	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_exhibition_15dB.wav	 SQValue=1.033	 1.033	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_exhibition_20dB.wav	 SQValue=1.002	 1.002	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask10epoch/_SA1_1_exhibition_-5dB.wav	 SQValue=1.056	 1.056	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask10epoch/_SA1_1_exhibition_0dB.wav	 SQValue=1.536	 1.536	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask10epoch/_SA1_1_exhibition_5dB.wav	 SQValue=2.012	 2.012	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask10epoch/_SA1_1_exhibition_10dB.wav	 SQValue=2.490	 2.490	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask10epoch/_SA1_1_exhibition_15dB.wav	 SQValue=2.808	 2.808	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask10epoch/_SA1_1_exhibition_20dB.wav	 SQValue=3.096	 3.096	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS30epoch/_SA1_1_exhibition_-5dB.wav	 SQValue=0.545	 0.545	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS30epoch/_SA1_1_exhibition_0dB.wav	 SQValue=0.981	 0.981	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS30epoch/_SA1_1_exhibition_5dB.wav	 SQValue=1.385	 1.385	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS30epoch/_SA1_1_exhibition_10dB.wav	 SQValue=1.569	 1.569	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS30epoch/_SA1_1_exhibition_15dB.wav	 SQValue=1.857	 1.857	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS30epoch/_SA1_1_exhibition_20dB.wav	 SQValue=1.681	 1.681	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/PycharmProjects/DNN_speech_enhancement3/output/enh_wavs_201103_0959/test/_SA1_1_machinegun_5dB.wav	 SQValue=1.431	 1.431	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS_seennoise/_SA1_1_babble_5dB.wav	 SQValue=1.608	 1.608	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS_seennoise/_SA1_1_babble_0dB.wav	 SQValue=1.422	 1.422	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS_seennoise/_SA1_1_babble_-5dB.wav	 SQValue=1.113	 1.113	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS_seennoise/_SA1_1_babble_10dB.wav	 SQValue=1.717	 1.717	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS_seennoise/_SA1_1_babble_15dB.wav	 SQValue=1.679	 1.679	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS_seennoise/_SA1_1_babble_20dB.wav	 SQValue=1.411	 1.411	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/noisy_audio_babble/_SA1_1_babble_-5dB.wav	 SQValue=1.306	 1.306	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/noisy_audio_babble/_SA1_1_babble_0dB.wav	 SQValue=1.611	 1.611	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/noisy_audio_babble/_SA1_1_babble_5dB.wav	 SQValue=1.981	 1.981	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/noisy_audio_babble/_SA1_1_babble_5dB.wav	 SQValue=1.981	 1.981	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/noisy_audio_babble/_SA1_1_babble_5dB.wav	 SQValue=1.981	 1.981	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/noisy_audio_babble/_SA1_1_babble_10dB.wav	 SQValue=2.341	 2.341	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/noisy_audio_babble/_SA1_1_babble_15dB.wav	 SQValue=2.677	 2.677	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/noisy_audio_babble/_SA1_1_babble_20dB.wav	 SQValue=2.964	 2.964	 0.000	 0	 8000	0.0000
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_babble_-5dB.wav	 SQValue=0.978	 0.978	 0.000	 0	 8000	-1.8360
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_babble_0dB.wav	 SQValue=0.659	 0.659	 0.000	 0	 8000	-3.0960
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_babble_5dB.wav	 SQValue=0.023	 0.023	 0.000	 0	 8000	-3.1080
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_babble_10dB.wav	 SQValue=2.189	 2.189	 0.000	 0	 8000	-3.1240
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_babble_15dB.wav	 SQValue=0.445	 0.445	 0.000	 0	 8000	0.0200
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/LPS10epoch/_SA1_1_babble_20dB.wav	 SQValue=0.371	 0.371	 0.000	 0	 8000	0.0280
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask_20epoch_seen4/_SA1_1_babble_-5dB.wav	 SQValue=1.494	 1.494	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask_20epoch_seen4/_SA1_1_babble_0dB.wav	 SQValue=1.899	 1.899	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask_20epoch_seen4/_SA1_1_babble_5dB.wav	 SQValue=2.302	 2.302	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask_20epoch_seen4/_SA1_1_babble_10dB.wav	 SQValue=2.653	 2.653	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask_20epoch_seen4/_SA1_1_babble_15dB.wav	 SQValue=2.953	 2.953	 0.000	 0	 8000	0.0160
 /home/sk-park/Desktop/SA1_1.wav	 /home/sk-park/Desktop/Mask_20epoch_seen4/_SA1_1_babble_20dB.wav	 SQValue=3.181	 3.181	 0.000	 0	 8000	0.0160
 
